title,price,image
Original Mini Adult Pollo - 600 Gr.,4.95,http://www.petsonic.com/es/8015-large_default/original-mini-adult-pollo.jpg
Original Mini Adult Pollo - 2 Kg.,12.90,http://www.petsonic.com/es/8015-large_default/original-mini-adult-pollo.jpg
Original Mini Adult Pollo - 7 Kg,34.90,http://www.petsonic.com/es/8015-large_default/original-mini-adult-pollo.jpg
Original Mini Adult Pollo - Pack 2 x 7 Kg,67.80,http://www.petsonic.com/es/8015-large_default/original-mini-adult-pollo.jpg
Original Mini Adult Cordero - 2 Kg.,14.50,http://www.petsonic.com/es/8208-large_default/original-mini-adult-cordero.jpg
Original Mini Adult Cordero - Pack 2 x 2 Kg,27.00,http://www.petsonic.com/es/8208-large_default/original-mini-adult-cordero.jpg
Original Medium-Maxi  Junior Pollo - 600 Gr.,4.90,http://www.petsonic.com/es/8014-large_default/original-medium-maxi-junior-pollo.jpg
Original Medium-Maxi  Junior Pollo - 2 Kg.,12.90,http://www.petsonic.com/es/8014-large_default/original-medium-maxi-junior-pollo.jpg
Original Medium-Maxi  Junior Pollo - 12 Kg,58.90,http://www.petsonic.com/es/8014-large_default/original-medium-maxi-junior-pollo.jpg
Original Medium-Maxi  Junior Pollo - Pack 2 x 12 Kg,114.90,http://www.petsonic.com/es/8014-large_default/original-medium-maxi-junior-pollo.jpg
Original Medium-Maxi Adult Pollo - 600 Gr.,4.90,http://www.petsonic.com/es/8012-large_default/original-medium-maxi-adult-pollo.jpg
Original Medium-Maxi Adult Pollo - 2 Kg.,12.05,http://www.petsonic.com/es/8012-large_default/original-medium-maxi-adult-pollo.jpg
Original Medium-Maxi Adult Pollo - 12 Kg,54.90,http://www.petsonic.com/es/8012-large_default/original-medium-maxi-adult-pollo.jpg
Original Medium-Maxi Adult Pollo - Pack 2 x 12 Kg,107.10,http://www.petsonic.com/es/8012-large_default/original-medium-maxi-adult-pollo.jpg
Original Medium-Maxi Adult Cordero - 2 Kg.,12.05,http://www.petsonic.com/es/8011-large_default/original-medium-maxi-adult-cordero.jpg
Original Medium-Maxi Adult Cordero - 12 Kg,54.90,http://www.petsonic.com/es/8011-large_default/original-medium-maxi-adult-cordero.jpg
Original Medium-Maxi Adult Cordero - Pack 2 x 12 Kg,107.10,http://www.petsonic.com/es/8011-large_default/original-medium-maxi-adult-cordero.jpg
No Grain Medium-Maxi Adult Pollo - 2 Kg.,14.50,http://www.petsonic.com/es/8010-large_default/no-grain-medium-maxi-adult-pollo.jpg
No Grain Medium-Maxi Adult Pollo - 12 Kg,58.90,http://www.petsonic.com/es/8010-large_default/no-grain-medium-maxi-adult-pollo.jpg
No Grain Medium-Maxi Adult Pollo - Pack 2 x 12 Kg,114.90,http://www.petsonic.com/es/8010-large_default/no-grain-medium-maxi-adult-pollo.jpg
No Grain Medium-Maxi Adult Salmón - 2 Kg.,12.90,http://www.petsonic.com/es/8009-large_default/no-grain-medium-maxi-adult-salmon.jpg
No Grain Medium-Maxi Adult Salmón - 12 Kg,58.90,http://www.petsonic.com/es/8009-large_default/no-grain-medium-maxi-adult-salmon.jpg
No Grain Medium-Maxi Adult Salmón - Pack 2 x 12 Kg,110.65,http://www.petsonic.com/es/8009-large_default/no-grain-medium-maxi-adult-salmon.jpg
High Meat Medium-Maxi Adult Pollo - 2 Kg.,14.50,http://www.petsonic.com/es/8007-large_default/high-meat-medium-maxi-adult-pollo.jpg
High Meat Medium-Maxi Adult Pollo - 12 Kg,71.39,http://www.petsonic.com/es/8007-large_default/high-meat-medium-maxi-adult-pollo.jpg
High Meat Medium-Maxi Adult Pollo - Pack 2 x 12 Kg,140.58,http://www.petsonic.com/es/8007-large_default/high-meat-medium-maxi-adult-pollo.jpg
Mini Junior Razas Pequeñas - 2 Kg.,12.15,http://www.petsonic.com/es/7970-large_default/royal-canin-mini-junior-razas-pequenas.jpg
Mini Junior Razas Pequeñas - 4 Kg.,21.95,http://www.petsonic.com/es/7970-large_default/royal-canin-mini-junior-razas-pequenas.jpg
Mini Junior Razas Pequeñas - 8 Kg,33.95,http://www.petsonic.com/es/7970-large_default/royal-canin-mini-junior-razas-pequenas.jpg
Mini Junior Razas Pequeñas - Pack 2 x 8 Kg,64.95,http://www.petsonic.com/es/7970-large_default/royal-canin-mini-junior-razas-pequenas.jpg
Mini Adulto Razas Pequeñas - 2 Kg.,10.75,http://www.petsonic.com/es/7967-large_default/royal-canin-mini-adulto-razas-pequenas.jpg
Mini Adulto Razas Pequeñas - 4 Kg.,18.45,http://www.petsonic.com/es/7967-large_default/royal-canin-mini-adulto-razas-pequenas.jpg
Mini Adulto Razas Pequeñas - 8 Kg,29.95,http://www.petsonic.com/es/7967-large_default/royal-canin-mini-adulto-razas-pequenas.jpg
Mini Adulto Razas Pequeñas - Pack 2 x 8 Kg,57.90,http://www.petsonic.com/es/7967-large_default/royal-canin-mini-adulto-razas-pequenas.jpg
Medium Junior Cachorros Razas Medianas - 4 Kg.,20.65,http://www.petsonic.com/es/10266-large_default/royal-canin-medium-junior-cachorros-razas-medianas.jpg
Medium Junior Cachorros Razas Medianas - 10 Kg,42.45,http://www.petsonic.com/es/10266-large_default/royal-canin-medium-junior-cachorros-razas-medianas.jpg
Medium Junior Cachorros Razas Medianas - 15 Kg,45.85,http://www.petsonic.com/es/10266-large_default/royal-canin-medium-junior-cachorros-razas-medianas.jpg
Medium Junior Cachorros Razas Medianas - Pack 2 x 15 Kg,91.70,http://www.petsonic.com/es/10266-large_default/royal-canin-medium-junior-cachorros-razas-medianas.jpg
Medium Adulto Razas Medianas - 4 Kg.,17.40,http://www.petsonic.com/es/7958-large_default/royal-canin-medium-adulto-razas-medianas.jpg
Medium Adulto Razas Medianas - 10 Kg,34.80,http://www.petsonic.com/es/7958-large_default/royal-canin-medium-adulto-razas-medianas.jpg
Medium Adulto Razas Medianas - 15 Kg,43.20,http://www.petsonic.com/es/7958-large_default/royal-canin-medium-adulto-razas-medianas.jpg
Medium Adulto Razas Medianas - Pack  2 x 15 Kg,91.50,http://www.petsonic.com/es/7958-large_default/royal-canin-medium-adulto-razas-medianas.jpg
Maxi Junior Cachorros Razas Grandes - 4 Kg.,20.90,http://www.petsonic.com/es/7953-large_default/royal-canin-maxi-junior-cachorros-razas-grandes.jpg
Maxi Junior Cachorros Razas Grandes - 10 Kg,41.20,http://www.petsonic.com/es/7953-large_default/royal-canin-maxi-junior-cachorros-razas-grandes.jpg
Maxi Junior Cachorros Razas Grandes - 15 Kg,49.90,http://www.petsonic.com/es/7953-large_default/royal-canin-maxi-junior-cachorros-razas-grandes.jpg
